dataset	label	definition
AudioSet	Birthday music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Carnatic music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Christian music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Christian music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Christmas music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Christmas music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Country	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Country	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Cumbia	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Exciting music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Exciting music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Funny music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Grime music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Happy music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Independent music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Independent music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Jingle (music)	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Jingle (music)	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Kuduro	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Kwaito	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Middle Eastern music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Middle Eastern music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Fsd50k	Music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Music for children	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Music for children	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Music of Africa	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Music of Asia	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Music of Asia	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Music of Latin America	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Music of Latin America	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Oldschool jungle	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Progressive rock	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Progressive rock	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Psychedelic rock	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Psychedelic rock	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Sad music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Salsa music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Scary music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Scary music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Soca music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Soundtrack music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Soundtrack music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
UrbanSound8K	street_music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Swing music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Swing music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Tender music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Traditional music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	UK garage	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Video game music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Video game music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Vocal music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Wedding music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
Dcase2017t4	Wedding music	a pattern of sounds made by musical instruments, voices, or computers, or a combination of these, intended to give pleasure to people listening to it
AudioSet	Wood block	a percussion musical instrument
Dcase2017t4	Wood block	a percussion musical instrument
AudioSet	Rimshot	a percussion technique used to produce an accented snare drum backbeat.
Dcase2017t4	Rimshot	a percussion technique used to produce an accented snare drum backbeat.
AudioSet	Silence	a period without any sound; complete quiet
Dcase2017t4	Silence	a period without any sound; complete quiet
Fsd50k	Writing	a person's style of writing with a pen on paper that can be recognized as their own
AudioSet	Writing	a person's style of writing with a pen on paper that can be recognized as their own
Dcase2017t4	Writing	a person's style of writing with a pen on paper that can be recognized as their own
AudioSet	Flap	a piece of cloth or other material fixed along one edge, especially used for covering or closing something
AudioSet	Radio	a piece of electronic equipment used for listening to radio broadcasts
Dcase2017t4	Radio	a piece of electronic equipment used for listening to radio broadcasts
AudioSet	Pulleys	a piece of equipment for moving heavy objects up or down, consisting of a small wheel over which a rope or chain attached to the object can be easily raised or lowered
Dcase2017t4	Pulleys	a piece of equipment for moving heavy objects up or down, consisting of a small wheel over which a rope or chain attached to the object can be easily raised or lowered
AudioSet	Pump (liquid)	a piece of equipment that is used to cause liquid, air, or gas to move from one place to another
Dcase2017t4	Pump (liquid)	a piece of equipment that is used to cause liquid, air, or gas to move from one place to another
Fsd50k	Tools	a piece of equipment that you use with your hands to make or repair something
AudioSet	Tools	a piece of equipment that you use with your hands to make or repair something
Dcase2017t4	Tools	a piece of equipment that you use with your hands to make or repair something
AudioSet	Cupboard open or close	a piece of furniture or a space for storing things, with a door or doors and usually with shelves
Dcase2017t4	Cupboard open or close	a piece of furniture or a space for storing things, with a door or doors and usually with shelves
Fsd50k	Cupboard_open_or_close	a piece of furniture or a space for storing things, with a door or doors and usually with shelves
AudioSet	Whip	a piece of leather or rope that is fastened to a stick, used for hitting animals or people
Dcase2017t4	Whip	a piece of leather or rope that is fastened to a stick, used for hitting animals or people
AudioSet	Keys jangling	a piece of metal that has been cut into a special shape and is used for opening or closing a lock, starting a car engine, etc.
Dcase2017t4	Keys jangling	a piece of metal that has been cut into a special shape and is used for opening or closing a lock, starting a car engine, etc.
Fsd50k	Keys_jangling	a piece of metal that has been cut into a special shape and is used for opening or closing a lock, starting a car engine, etc.
AudioSet	Harmony	a pleasant musical sound made by different notes being played or sung at the same time
UrbanSound8K	jackhammer	a pneumatic drill
AudioSet	Jackhammer	a pneumatic drill
Dcase2017t4	Jackhammer	a pneumatic drill
AudioSet	Zing	a quality that makes something interesting or exciting; enthusiasm or energy
AudioSet	Sniff	a quick breath in through the nose to smell something, or to stop liquid in the nose from coming out
AudioSet	Lullaby	a quiet song that is sung to children to help them go to sleep
AudioSet	Rail transport	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
Dcase2017t4	Rail transport	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
Fsd50k	Rail_transport	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
AudioSet	Railroad car, train wagon	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
Dcase2017t4	Railroad car, train wagon	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
Fsd50k	Subway_and_metro_and_underground	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
ESC50	train	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
Fsd50k	Train	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
AudioSet	Train	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
Dcase2017t4	Train	a railway engine connected to carriages for carrying people or to wheeled containers for carrying goods
AudioSet	Subway, metro, underground	a railway system in which electric trains travel through tunnels below ground
Dcase2017t4	Subway, metro, underground	a railway system in which electric trains travel through tunnels below ground
ESC50	sea_waves	a raised line of water that moves across the surface of an area of water, especially the sea
Fsd50k	Waves_and_surf	a raised line of water that moves across the surface of an area of water, especially the sea
AudioSet	Waves, surf	a raised line of water that moves across the surface of an area of water, especially the sea
Dcase2017t4	Waves, surf	a raised line of water that moves across the surface of an area of water, especially the sea
AudioSet	Jingle, tinkle	a repeated gentle ringing sound
Dcase2017t4	Jingle, tinkle	a repeated gentle ringing sound
AudioSet	Snake	a reptile with a long body and no legs
AudioSet	Clickety-clack	a rhythmic usually fast click-clack
Dcase2017t4	Clickety-clack	a rhythmic usually fast click-clack
Fsd50k	Car	a road vehicle with an engine, four wheels, and seats for a small number of people
AudioSet	Car	a road vehicle with an engine, four wheels, and seats for a small number of people
Dcase2017t4	Car	a road vehicle with an engine, four wheels, and seats for a small number of people
AudioSet	Car passing by	a road vehicle with an engine, four wheels, and seats for a small number of people
Dcase2017t4	Car passing by	a road vehicle with an engine, four wheels, and seats for a small number of people
Fsd50k	Car_passing_by	a road vehicle with an engine, four wheels, and seats for a small number of people
Fsd50k	Gong	a round piece of metal that is hung in a frame and hit with a stick to produce a sound as a signal, also used as a musical instrument
AudioSet	Gong	a round piece of metal that is hung in a frame and hit with a stick to produce a sound as a signal, also used as a musical instrument
AudioSet	Stomach rumble	a rumbling, growling or gurgling noise produced by movement of the contents of the gastrointestinal tract as they are propelled through the small intestine by a series of muscle contractions called peristalsis
ESC50	hand_saw	a saw (= a tool that has a long or round blade with sharp points, for cutting hard materials such as wood) that is operated by hand rather than using electricity or a motor
AudioSet	Alto saxophone	a saxophone (= a metal musical instrument that is played by blowing into it to make a single reedvibrate) that is of a size and range between a soprano saxophone and a tenor saxophone
AudioSet	Soprano saxophone	a saxophone (= a metal musical instrument that is played by blowing into it to make a single reedvibrate) that is of a size and range between a soprano saxophone and a tenor saxophone
AudioSet	Whimper	a series of small, weak sounds expressing pain or unhappiness, especially of an animal
Dcase2017t4	Whimper	a series of small, weak sounds expressing pain or unhappiness, especially of an animal
AudioSet	Drum kit	a set of drums and cymbals played by one person
Dcase2017t4	Drum kit	a set of drums and cymbals played by one person
Fsd50k	Drum_kit	a set of drums and cymbals played by one person
AudioSet	Timpani	a set of kettledrums (= large metal drums with round bottoms) played in an orchestra
Dcase2017t4	Timpani	a set of kettledrums (= large metal drums with round bottoms) played in an orchestra
AudioSet	Wind chime	a set of small bells, or objects that make ringing sounds
Fsd50k	Wind_chime	a set of small bells, or objects that make ringing sounds
AudioSet	Vibration	a setting on an electronic device that causes it to vibrate when something happens, such as receiving a new message
Dcase2017t4	Vibration	a setting on an electronic device that causes it to vibrate when something happens, such as receiving a new message
AudioSet	Ding	a short ringing sound like that made by a bell
Dcase2017t4	Ding	a short ringing sound like that made by a bell
Fsd50k	Crackle	a short, dry, sharp sound
AudioSet	Crackle	a short, dry, sharp sound
Dcase2017t4	Crackle	a short, dry, sharp sound
Fsd50k	Chirp_and_tweet	a short, high sound made by a bird
AudioSet	Chirp, tweet	a short, high sound made by a bird
Dcase2017t4	Chirp, tweet	a short, high sound made by a bird
AudioSet	Beep, bleep	a short, high sound made by a machine, especially if it is repeated
Dcase2017t4	Beep, bleep	a short, high sound made by a machine, especially if it is repeated
AudioSet	Reversing beeps	a short, loud sound, especially made by something electronic
Dcase2017t4	Reversing beeps	a short, loud sound, especially made by something electronic
AudioSet	Grunt	a short, low sound that an animal or person makes
Dcase2017t4	Grunt	a short, low sound that an animal or person makes
AudioSet	Yip	a short, sharp cry
Dcase2017t4	Yip	a short, sharp cry
AudioSet	Ping	a short, sharp sound
AudioSet	Battle cry	a shout given by soldiers as they run towards the enemy
Dcase2017t4	Battle cry	a shout given by soldiers as they run towards the enemy
Fsd50k	Raindrop	a single drop of rain
AudioSet	Raindrop	a single drop of rain
Dcase2017t4	Raindrop	a single drop of rain
ESC50	frog	a small animal that has smooth skin, lives in water and on land, has long powerful back legs with which it jumps from place to place, has no tail, and is usually greenish-brown in colour
Fsd50k	Frog	a small animal that has smooth skin, lives in water and on land, has long powerful back legs with which it jumps from place to place, has no tail, and is usually greenish-brown in colour
AudioSet	Frog	a small animal that has smooth skin, lives in water and on land, has long powerful back legs with which it jumps from place to place, has no tail, and is usually greenish-brown in colour
Fsd50k	Cat	a small animal with fur, four legs, a tail, and claws, usually kept as a pet or for catching mice
AudioSet	Cat	a small animal with fur, four legs, a tail, and claws, usually kept as a pet or for catching mice
Dcase2017t4	Cat	a small animal with fur, four legs, a tail, and claws, usually kept as a pet or for catching mice
AudioSet	Sailboat, sailing ship	a small boat with sails
Dcase2017t4	Sailboat, sailing ship	a small boat with sails
AudioSet	Electric toothbrush	a small brush with a long handle that you use to clean your teeth
Dcase2017t4	Electric toothbrush	a small brush with a long handle that you use to clean your teeth
AudioSet	Toothbrush	a small brush with a long handle that you use to clean your teeth
AudioSet	Ding	a small damaged area on a surface where something has hit it
AudioSet	Snare drum	a small drum with twisted wires stretched across the bottom that shake against it when it is hit
Dcase2017t4	Snare drum	a small drum with twisted wires stretched across the bottom that shake against it when it is hit
Fsd50k	Snare_drum	a small drum with twisted wires stretched across the bottom that shake against it when it is hit
AudioSet	Fly, housefly	a small fly often found in houses
Dcase2017t4	Fly, housefly	a small fly often found in houses
AudioSet	Mosquito	a small flying insect that bites people and animals and sucks their blood
AudioSet	Ukulele	a small guitar or banjo with four strings
AudioSet	Mouse	a small mammal with short fur, a pointed face, and a long tail
Fsd50k	Tambourine	a small musical instrument consisting of a circular wooden frame with metal discs loosely attached to it, shaken or hit with the hand to make the discs ring
AudioSet	Tambourine	a small musical instrument consisting of a circular wooden frame with metal discs loosely attached to it, shaken or hit with the hand to make the discs ring
Fsd50k	Chink_and_clink	a small narrow crack or opening
AudioSet	Chink, clink	a small narrow crack or opening
Dcase2017t4	Chink, clink	a small narrow crack or opening
AudioSet	Rodents, rats, mice	a small rodent, larger than a mouse, that has a long tail and is considered to be harmful
Dcase2017t4	Rodents, rats, mice	a small rodent, larger than a mouse, that has a long tail and is considered to be harmful
Fsd50k	Boat_and_Water_vehicle	a small vehicle for travelling on water
AudioSet	Boat, Water vehicle	a small vehicle for travelling on water
Dcase2017t4	Boat, Water vehicle	a small vehicle for travelling on water
AudioSet	Motorboat, speedboat	a small, fast boat that is powered by an engine
Dcase2017t4	Motorboat, speedboat	a small, fast boat that is powered by an engine
AudioSet	Rowboat, canoe, kayak	a small, light, narrow boat, pointed at both ends and moved using a paddle (= a short pole with a flat blade)
Dcase2017t4	Rowboat, canoe, kayak	a small, light, narrow boat, pointed at both ends and moved using a paddle (= a short pole with a flat blade)
Fsd50k	Harmonica	a small, rectangular musical instrument, played by blowing and sucking air through it
AudioSet	Harmonica	a small, rectangular musical instrument, played by blowing and sucking air through it
Dcase2017t4	Harmonica	a small, rectangular musical instrument, played by blowing and sucking air through it
AudioSet	Coin (dropping)	a small, round piece of metal, usually silver or copper coloured, that is used as money
Fsd50k	Coin_(dropping)	a small, round piece of metal, usually silver or copper coloured, that is used as money
AudioSet	Splinter	a small, sharp, broken piece of wood, glass, plastic, or similar material
AudioSet	Plop	a soft sound like that of something solid dropping lightly into a liquid
Fsd50k	Whoosh_and_swoosh_and_swish	a soft sound made by something moving fast through the air or like that made when air is pushed out of something
AudioSet	Whoosh, swoosh, swish	a soft sound made by something moving fast through the air or like that made when air is pushed out of something
Dcase2017t4	Whoosh, swoosh, swish	a soft sound made by something moving fast through the air or like that made when air is pushed out of something
AudioSet	Clip-clop	a sound like that of horses' hoofs (= the hard part on the bottom of a horse's foot) on a hard surface
AudioSet	Environmental noise	a sound or sounds, especially when it is unwanted, unpleasant, or loud
Dcase2017t4	Environmental noise	a sound or sounds, especially when it is unwanted, unpleasant, or loud
AudioSet	Noise	a sound or sounds, especially when it is unwanted, unpleasant, or loud
Dcase2017t4	Noise	a sound or sounds, especially when it is unwanted, unpleasant, or loud
Fsd50k	Rattle	a sound similar to a series of quickly repeated knocks
AudioSet	Rattle	a sound similar to a series of quickly repeated knocks
Dcase2017t4	Rattle	a sound similar to a series of quickly repeated knocks
AudioSet	Echo	a sound that is heard after it has been reflected off a surface such as a wall or a cliff
Dcase2017t4	Echo	a sound that is heard after it has been reflected off a surface such as a wall or a cliff
AudioSet	Reverberation	a sound that lasts for a long time and makes things seem to shake
AudioSet	Busy signal	a sound that means that the phone you are calling is being used
AudioSet	Sitar	a South Asian musical instrument with a round body, a long neck, and two sets of strings
Dcase2017t4	Sitar	a South Asian musical instrument with a round body, a long neck, and two sets of strings
AudioSet	Harmonic	a special note that sounds when a musical note is played that is different from the main note
AudioSet	Ambulance (siren)	a special vehicle used to take sick or injured people to hospital
Dcase2017t4	Ambulance (siren)	a special vehicle used to take sick or injured people to hospital
AudioSet	Flap	a state of nervous excitement
ESC50	thunderstorm	a storm with thunder and lightning and usually heavy rain
Fsd50k	Thunderstorm	a storm with thunder and lightning and usually heavy rain
AudioSet	Thunderstorm	a storm with thunder and lightning and usually heavy rain
Dcase2017t4	Thunderstorm	a storm with thunder and lightning and usually heavy rain
AudioSet	Banjo	a stringed musical instrument with a long neck and a hollow circular body
Dcase2017t4	Banjo	a stringed musical instrument with a long neck and a hollow circular body
AudioSet	Throbbing	a strong, regular beat
Dcase2017t4	Throbbing	a strong, regular beat
AudioSet	Afrobeat	a style of music first developed in Nigeria in the 1960s and 1970s that combines African music and jazz, funk, and soul music
Dcase2017t4	Afrobeat	a style of music first developed in Nigeria in the 1960s and 1970s that combines African music and jazz, funk, and soul music
AudioSet	Dub	a style of music or poetry connected with reggae in which the main part of the tune is removed and various special effects are added
AudioSet	Funk	a style of music, usually for dancing to, with a strong rhythm based on jazz and a tune that repeats
Dcase2017t4	Funk	a style of music, usually for dancing to, with a strong rhythm based on jazz and a tune that repeats
AudioSet	Funk carioca	a style of music, usually for dancing to, with a strong rhythm based on jazz and a tune that repeats
AudioSet	Gospel music	a style of religious music originally performed by black Americans
AudioSet	Heavy metal	a style of rock music with a strong beat, played very loudly using electric guitars
Dcase2017t4	Heavy metal	a style of rock music with a strong beat, played very loudly using electric guitars
AudioSet	Rock music	a style of rock music with a strong beat, played very loudly using electric guitars
Dcase2017t4	Rock music	a style of rock music with a strong beat, played very loudly using electric guitars
Fsd50k	Liquid	a substance, such as water, that is not solid or a gas and that can be poured easily
AudioSet	Liquid	a substance, such as water, that is not solid or a gas and that can be poured easily
Dcase2017t4	Liquid	a substance, such as water, that is not solid or a gas and that can be poured easily
AudioSet	Bang	a sudden very loud noise
Dcase2017t4	Bang	a sudden very loud noise
Fsd50k	Hammer	a tool consisting of a piece of metal with a flat end that is fixed onto the end of a long, thin, usually wooden handle, used for hitting things
AudioSet	Hammer	a tool consisting of a piece of metal with a flat end that is fixed onto the end of a long, thin, usually wooden handle, used for hitting things
Dcase2017t4	Hammer	a tool consisting of a piece of metal with a flat end that is fixed onto the end of a long, thin, usually wooden handle, used for hitting things
Fsd50k	Drill	a tool or machine that makes holes
AudioSet	Drill	a tool or machine that makes holes
Dcase2017t4	Drill	a tool or machine that makes holes
AudioSet	Power tool	a tool that operates with an electric motor
Dcase2017t4	Power tool	a tool that operates with an electric motor
Fsd50k	Power_tool	a tool that operates with an electric motor
AudioSet	Clarinet	a tube-shaped musical instrument that is played by blowing through a single reed
AudioSet	Flute	a tube-shaped musical instrument with a hole that you blow across at one end while holding the tube out horizontally to one side
Dcase2017t4	Flute	a tube-shaped musical instrument with a hole that you blow across at one end while holding the tube out horizontally to one side
AudioSet	Oboe	a tube-shaped musical instrument, played by blowing through a double reed at the top
AudioSet	Melody	a tune, often forming part of a larger piece of music
Fsd50k	Bicycle	a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet)
AudioSet	Bicycle	a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet)
Dcase2017t4	Bicycle	a two-wheeled vehicle that you sit on and move by turning the two pedals (= flat parts you press with your feet)
ESC50	helicopter	a type of aircraft without wings, that has one or two sets of large blades that go round very fast on top. It can land and take off vertically and can stay in one place in the air
AudioSet	Helicopter	a type of aircraft without wings, that has one or two sets of large blades that go round very fast on top. It can land and take off vertically and can stay in one place in the air
Dcase2017t4	Helicopter	a type of aircraft without wings, that has one or two sets of large blades that go round very fast on top. It can land and take off vertically and can stay in one place in the air
Fsd50k	Chicken_and_rooster	a type of bird kept on a farm for its eggs or its meat, or the meat of this bird that is cooked and eaten
AudioSet	Chicken, rooster	a type of bird kept on a farm for its eggs or its meat, or the meat of this bird that is cooked and eaten
ESC50	rooster	a type of bird kept on a farm for its eggs or its meat, or the meat of this bird that is cooked and eaten
AudioSet	Bluegrass	a type of country music from the southern US played on instruments such as guitars, banjos, and violins
AudioSet	Dubstep	a type of electronic dance music
Dcase2017t4	Dubstep	a type of electronic dance music
AudioSet	Ska	a type of fast pop music with a strong beat, originally played in Jamaica in the late 1950s and popular there and in the UK. It influenced the development of reggae.
Dcase2017t4	Ska	a type of fast pop music with a strong beat, originally played in Jamaica in the late 1950s and popular there and in the UK. It influenced the development of reggae.
AudioSet	Punk rock	a type of fast, loud, often offensive music that was originally popular among young people in the late 1970s
Dcase2017t4	Punk rock	a type of fast, loud, often offensive music that was originally popular among young people in the late 1970s
AudioSet	Jazz	a type of modern music originally developed by African-Americans, with a rhythm in which the strong notes often come before the beat. Jazz is usually improvised (= invented as it is played).
Dcase2017t4	Jazz	a type of modern music originally developed by African-Americans, with a rhythm in which the strong notes often come before the beat. Jazz is usually improvised (= invented as it is played).
AudioSet	New-age music	a type of music that is intended to produce a calm and peaceful state of mind
Dcase2017t4	New-age music	a type of music that is intended to produce a calm and peaceful state of mind
AudioSet	Dance music	a type of music with a strong beat that people dance to in a nightclub
Dcase2017t4	Dance music	a type of music with a strong beat that people dance to in a nightclub
AudioSet	Ambient music	a type of music, often without a tune or beat, that is intended to make people relax or create a particular mood
Dcase2017t4	Ambient music	a type of music, often without a tune or beat, that is intended to make people relax or create a particular mood
AudioSet	Disco	a type of music, popular in the 1970s, that people dance to in a nightclub
Dcase2017t4	Disco	a type of music, popular in the 1970s, that people dance to in a nightclub
AudioSet	Bagpipes	a type of musical instrument, played especially in Scotland and Ireland, from which you produce sound by blowing air into a bag and pressing it out through pipes
Dcase2017t4	Bagpipes	a type of musical instrument, played especially in Scotland and Ireland, from which you produce sound by blowing air into a bag and pressing it out through pipes
AudioSet	Drum and bass	a type of popular dance music with a fast, strong drum rhythm and a loud bass
Dcase2017t4	Drum and bass	a type of popular dance music with a fast, strong drum rhythm and a loud bass
AudioSet	Reggae	a type of popular music from Jamaica, with a strong second and fourth beat
Dcase2017t4	Reggae	a type of popular music from Jamaica, with a strong second and fourth beat
AudioSet	Drone music	a type of popular music with a strong fast beat, produced using electronic instruments
AudioSet	Electro	a type of popular music with a strong fast beat, produced using electronic instruments
AudioSet	Electronic dance music	a type of popular music with a strong fast beat, produced using electronic instruments
Dcase2017t4	Electronic dance music	a type of popular music with a strong fast beat, produced using electronic instruments
AudioSet	Electronic music	a type of popular music with a strong fast beat, produced using electronic instruments
Dcase2017t4	Electronic music	a type of popular music with a strong fast beat, produced using electronic instruments
AudioSet	Noise music	a type of popular music with a strong fast beat, produced using electronic instruments
AudioSet	Trance music	a type of popular music with a strong fast beat, produced using electronic instruments
Dcase2017t4	Trance music	a type of popular music with a strong fast beat, produced using electronic instruments
AudioSet	Hip hop music	a type of popular music with a strong rhythm in which the words are spoken rather than sung, and the subject of the songs is often politics or society
Dcase2017t4	Hip hop music	a type of popular music with a strong rhythm in which the words are spoken rather than sung, and the subject of the songs is often politics or society
AudioSet	Rock and roll	a type of popular music with a strong, loud beat that is usually played with electric guitars and drums
Dcase2017t4	Rock and roll	a type of popular music with a strong, loud beat that is usually played with electric guitars and drums
AudioSet	Rhythm and blues	a type of popular music, originally by African American artists of the 1940s and 1950s, that combined features of blues and jazz witha strong beat
Dcase2017t4	Rhythm and blues	a type of popular music, originally by African American artists of the 1940s and 1950s, that combined features of blues and jazz witha strong beat
AudioSet	Trap music	a type of rap music (= popular music in which the words are spoken rather than sung) that comes originally from the southern United States
AudioSet	Grunge	a type of rock music and a fashion for untidy clothes, popular in the early 1990s
Dcase2017t4	Grunge	a type of rock music and a fashion for untidy clothes, popular in the early 1990s
AudioSet	Blues	a type of slow, sad music, originally from the southern US, in which the singer typically sings about their difficult life or bad luck in love
Dcase2017t4	Blues	a type of slow, sad music, originally from the southern US, in which the singer typically sings about their difficult life or bad luck in love
AudioSet	Flamenco	a type of Spanish dance music, or the dance performed to this music
Dcase2017t4	Flamenco	a type of Spanish dance music, or the dance performed to this music
Fsd50k	Insect	a type of very small animal with six legs, a body divided into three parts and usually two pairs of wings, or, more generally, any similar very small animal
AudioSet	Insect	a type of very small animal with six legs, a body divided into three parts and usually two pairs of wings, or, more generally, any similar very small animal
Dcase2017t4	Insect	a type of very small animal with six legs, a body divided into three parts and usually two pairs of wings, or, more generally, any similar very small animal
ESC50	insects	a type of very small animal with six legs, a body divided into three parts and usually two pairs of wings, or, more generally, any similar very small animal
AudioSet	Song	a usually short piece of music with words that are sung
Dcase2017t4	Song	a usually short piece of music with words that are sung
ESC50	airplane	a vehicle designed for air travel that has wings and one or more engines
AudioSet	Fixed-wing aircraft, airplane	a vehicle designed for air travel that has wings and one or more engines
Dcase2017t4	Fixed-wing aircraft, airplane	a vehicle designed for air travel that has wings and one or more engines
Fsd50k	Fixed-wing_aircraft_and_airplane	a vehicle designed for air travel that has wings and one or more engines
AudioSet	Emergency vehicle	a vehicle used by emergency services
Dcase2017t4	Emergency vehicle	a vehicle used by emergency services
AudioSet	Motor vehicle (road)	a vehicle with two wheels and an engine
Dcase2017t4	Motor vehicle (road)	a vehicle with two wheels and an engine
Fsd50k	Motor_vehicle_(road)	a vehicle with two wheels and an engine
