dataset	label	definition
AudioSet	Accelerating, revving, vroom	to increase the operating speed of an engine while the vehicle is not moving, usually to warm it to the correct temperature
Dcase2017t4	Accelerating, revving, vroom	to increase the operating speed of an engine while the vehicle is not moving, usually to warm it to the correct temperature
Fsd50k	Chuckle_and_chortle	to laugh quietly
AudioSet	Chuckle, chortle	to laugh quietly
Dcase2017t4	Chuckle, chortle	to laugh quietly
Fsd50k	Giggle	to laugh repeatedly in a quiet but uncontrolled way, often at something silly or rude or when you are nervous
AudioSet	Giggle	to laugh repeatedly in a quiet but uncontrolled way, often at something silly or rude or when you are nervous
Dcase2017t4	Giggle	to laugh repeatedly in a quiet but uncontrolled way, often at something silly or rude or when you are nervous
AudioSet	Humming	to make a continuous low sound
AudioSet	Mains hum	to make a continuous low sound
Fsd50k	Buzz	to make a continuous, low sound such as the one a bee makes
AudioSet	Buzz	to make a continuous, low sound such as the one a bee makes
Dcase2017t4	Buzz	to make a continuous, low sound such as the one a bee makes
AudioSet	Whistle	to make a high sound by forcing air through a small hole or passage, especially through the lips, or through a special device held to the lips
Dcase2017t4	Whistle	to make a high sound by forcing air through a small hole or passage, especially through the lips, or through a special device held to the lips
AudioSet	Whistling	to make a high sound by forcing air through a small hole or passage, especially through the lips, or through a special device held to the lips
AudioSet	Wheeze	to make a high, rough noise while breathing because of some breathing difficulty
Dcase2017t4	Wheeze	to make a high, rough noise while breathing because of some breathing difficulty
UrbanSound8K	drilling	to make a hole in something using a special tool
AudioSet	Roar	to make a long, loud, deep sound
Dcase2017t4	Roar	to make a long, loud, deep sound
AudioSet	Wail, moan	to make a long, low sound of pain, suffering, or another strong emotion
AudioSet	Tire squeal	to make a long, very high sound or cry
Dcase2017t4	Tire squeal	to make a long, very high sound or cry
AudioSet	Train wheels squealing	to make a long, very high sound or cry
Dcase2017t4	Train wheels squealing	to make a long, very high sound or cry
AudioSet	Clang	to make a loud deep ringing sound like that of metal being hit, or to cause something to make this sound
Dcase2017t4	Clang	to make a loud deep ringing sound like that of metal being hit, or to cause something to make this sound
Fsd50k	Hiss	to make a noise like a long s sound
AudioSet	Hiss	to make a noise like a long s sound
Dcase2017t4	Hiss	to make a noise like a long s sound
Fsd50k	Purr	to make a quiet, continuous, soft sound
AudioSet	Purr	to make a quiet, continuous, soft sound
Dcase2017t4	Purr	to make a quiet, continuous, soft sound
ESC50	clapping	to make a short loud noise by hitting your hands together
Fsd50k	Clapping	to make a short loud noise by hitting your hands together
AudioSet	Clapping	to make a short loud noise by hitting your hands together
Dcase2017t4	Clapping	to make a short loud noise by hitting your hands together
AudioSet	Toot	to make a short sound or series of short sounds, especially with the horn of a car as a warning
Dcase2017t4	Toot	to make a short sound or series of short sounds, especially with the horn of a car as a warning
Fsd50k	Squeak	to make a short, very high cry or sound
AudioSet	Squeak	to make a short, very high cry or sound
Fsd50k	Pour	to make a substance flow from a container, especially into another container, by raising just one side of the container that the substance is in
AudioSet	Pour	to make a substance flow from a container, especially into another container, by raising just one side of the container that the substance is in
ESC50	pouring_water	to make a substance flow from a container, especially into another container, by raising just one side of the container that the substance is in
AudioSet	Snort	to make an explosive sound by forcing air quickly up or down the nose
AudioSet	Snort (horse)	to make an explosive sound by forcing air quickly up or down the nose
AudioSet	Clatter	to make continuous loud noises by hitting hard objects against each other, or to cause objects to do this
Dcase2017t4	Clatter	to make continuous loud noises by hitting hard objects against each other, or to cause objects to do this
AudioSet	Sanding	to make something smooth by rubbing it with something rough, especially sandpaper (= strong paper with sand attached to it)
AudioSet	Cluck	to make the low, interrupted noise that a chicken makes
Dcase2017t4	Cluck	to make the low, interrupted noise that a chicken makes
AudioSet	Oink	to make the noise that a pig makes
Dcase2017t4	Oink	to make the noise that a pig makes
AudioSet	Gobble	to make the sound of a male turkey
AudioSet	Gargling	to move a liquid around in your throat without swallowing, especially to clean it or stop it feeling painful
Fsd50k	Strum	to move your fingers across the strings of a guitar or similar instrument
AudioSet	Strum	to move your fingers across the strings of a guitar or similar instrument
Dcase2017t4	Strum	to move your fingers across the strings of a guitar or similar instrument
AudioSet	Fill (with liquid)	to pour a liquid in a very thin stream, or so that drops fall continuously
Fsd50k	Fill_(with_liquid)	to pour a liquid in a very thin stream, or so that drops fall continuously
Fsd50k	Trickle_and_dribble	to pour a liquid in a very thin stream, or so that drops fall continuously
AudioSet	Trickle, dribble	to pour a liquid in a very thin stream, or so that drops fall continuously
Dcase2017t4	Trickle, dribble	to pour a liquid in a very thin stream, or so that drops fall continuously
AudioSet	Rub	to press or be pressed against something with a circular or up-and-down repeated movement
Fsd50k	Crushing	to press something very hard so that it is broken or its shape is destroyed
AudioSet	Crushing	to press something very hard so that it is broken or its shape is destroyed
Dcase2017t4	Crushing	to press something very hard so that it is broken or its shape is destroyed
Fsd50k	Tearing	to pull or be pulled apart, or to pull pieces off
AudioSet	Tearing	to pull or be pulled apart, or to pull pieces off
Fsd50k	Fart	to release gas from the bowels through the bottom
AudioSet	Fart	to release gas from the bowels through the bottom
Dcase2017t4	Fart	to release gas from the bowels through the bottom
AudioSet	Scrape	to remove an unwanted covering or a top layer from something, especially using a sharp edge or something rough
Dcase2017t4	Scrape	to remove an unwanted covering or a top layer from something, especially using a sharp edge or something rough
ESC50	door_wood_knock	to repeatedly hit something, producing a noise
Fsd50k	Knock	to repeatedly hit something, producing a noise
AudioSet	Knock	to repeatedly hit something, producing a noise
Dcase2017t4	Knock	to repeatedly hit something, producing a noise
AudioSet	Child speech, kid speaking	to say words, to use the voice, or to have a conversation with someone
Dcase2017t4	Child speech, kid speaking	to say words, to use the voice, or to have a conversation with someone
Fsd50k	Child_speech_and_kid_speaking	to say words, to use the voice, or to have a conversation with someone
AudioSet	Children playing	to say words, to use the voice, or to have a conversation with someone
AudioSet	Bellow	to shout in a loud voice, or (of a cow or large animal) to make a loud, deep sound
Fsd50k	Yell	to shout something or make a loud noise, usually when you are angry, in pain, or excited
AudioSet	Yell	to shout something or make a loud noise, usually when you are angry, in pain, or excited
Dcase2017t4	Yell	to shout something or make a loud noise, usually when you are angry, in pain, or excited
AudioSet	Chant	to sing a religious prayer or song to a simple tune
AudioSet	Yodeling	to sing by making a series of very fast changes between the natural voice and a much higher voice
ESC50	laughing	to smile while making sounds with your voice that show you think something is funny or you are happy
AudioSet	Drum beat	to speak enthusiastically about a belief or idea in order to persuade other people to support it too
AudioSet	Children shouting	to speak with a very loud voice, often as loud as possible, usually when you want to make yourself heard in noisy situations, or when the person you are talking to is a long way away or cannot hear very well
Dcase2017t4	Children shouting	to speak with a very loud voice, often as loud as possible, usually when you want to make yourself heard in noisy situations, or when the person you are talking to is a long way away or cannot hear very well
Fsd50k	Shout	to speak with a very loud voice, often as loud as possible, usually when you want to make yourself heard in noisy situations, or when the person you are talking to is a long way away or cannot hear very well
AudioSet	Shout	to speak with a very loud voice, often as loud as possible, usually when you want to make yourself heard in noisy situations, or when the person you are talking to is a long way away or cannot hear very well
Dcase2017t4	Shout	to speak with a very loud voice, often as loud as possible, usually when you want to make yourself heard in noisy situations, or when the person you are talking to is a long way away or cannot hear very well
Fsd50k	Gasp	to take a short, quick breath through the mouth, especially because of surprise, pain, or shock
AudioSet	Gasp	to take a short, quick breath through the mouth, especially because of surprise, pain, or shock
Dcase2017t4	Gasp	to take a short, quick breath through the mouth, especially because of surprise, pain, or shock
ESC50	drinking_sipping	to take liquid into the body through the mouth
Fsd50k	Chatter	to talk for a long time about things that are not important
AudioSet	Chatter	to talk for a long time about things that are not important
Dcase2017t4	Chatter	to talk for a long time about things that are not important
AudioSet	Hubbub, speech noise, speech babble	to talk or say something in a quick, confused, excited, or silly way
Dcase2017t4	Hubbub, speech noise, speech babble	to talk or say something in a quick, confused, excited, or silly way
AudioSet	Biting	to use your teeth to cut into something or someone
Dcase2017t4	Biting	to use your teeth to cut into something or someone
AudioSet	Shuffle	to walk by pulling your feet slowly along the ground rather than lifting them
AudioSet	Bird flight, flapping wings	to wave something, especially wings when or as if flying
AudioSet	Flap	to wave something, especially wings when or as if flying
AudioSet	Computer keyboard	to write using a machine, either a computer keyboard or a typewriter
Fsd50k	Computer_keyboard	to write using a machine, either a computer keyboard or a typewriter
ESC50	keyboard_typing	to write using a machine, either a computer keyboard or a typewriter
Fsd50k	Typing	to write using a machine, either a computer keyboard or a typewriter
AudioSet	Typing	to write using a machine, either a computer keyboard or a typewriter
AudioSet	Folk music	traditional music from a particular country or region, or modern music and songs that are in a similar style
AudioSet	Wild animals	undomesticated animal species, but has come to include all organisms that grow or live wild in an area without being introduced by humans
Dcase2017t4	Wild animals	undomesticated animal species, but has come to include all organisms that grow or live wild in an area without being introduced by humans
Fsd50k	Wild_animals	undomesticated animal species, but has come to include all organisms that grow or live wild in an area without being introduced by humans
Fsd50k	Stream	water that flows naturally along a fixed route formed by a channel cut into rock or ground, usually at ground level
AudioSet	Stream	water that flows naturally along a fixed route formed by a channel cut into rock or ground, usually at ground level
Dcase2017t4	Stream	water that flows naturally along a fixed route formed by a channel cut into rock or ground, usually at ground level
AudioSet	Waterfall	water, especially from a river or stream, dropping from a higher to a lower point, sometimes from a great height
Dcase2017t4	Waterfall	water, especially from a river or stream, dropping from a higher to a lower point, sometimes from a great height
AudioSet	Bleat	When a sheep or goat bleats, it makes the typical sound of these animals.
Dcase2017t4	Bleat	When a sheep or goat bleats, it makes the typical sound of these animals.
AudioSet	Eruption	When a volcano erupts, it explodes and flames and rocks come out of it
Dcase2017t4	Eruption	When a volcano erupts, it explodes and flames and rocks come out of it
AudioSet	Croak	When animals such as frogs and crows croak, they make deep rough sounds.
AudioSet	Coo	When birds such as doves and pigeons coo, they make a low soft sound.
Fsd50k	Sneeze	When you sneeze, air and often small drops of liquid suddenly come out of your nose and mouth in a way you cannot control
AudioSet	Sneeze	When you sneeze, air and often small drops of liquid suddenly come out of your nose and mouth in a way you cannot control
ESC50	sneezing	When you sneeze, air and often small drops of liquid suddenly come out of your nose and mouth in a way you cannot control
AudioSet	Basketball bounce	The sound of a basketball bouncing on a hard surface, such as a basketball court
Dcase2017t4	Basketball bounce	The sound of a basketball bouncing on a hard surface, such as a basketball court
AudioSet	Bathtub (filling or washing)	Sounds originating from a large container for holding water in which a person may bathe
Fsd50k	Bathtub_(filling_or_washing)	Sounds originating from a large container for holding water in which a person may bathe
AudioSet	Boing	A bouncing or spring-like sound with a tonal component that sweeps upwards
